"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07.10.2025","Amazon.de","B0DJD3B94Q","HB2B78","happybrush® Schallzahnbürste Eco Vibe 3 - TESTSIEGER 2024-100 Tage testen - Elektrische Zahnbürste mit 6 Wochen Akku - Ultraschall Zahnbürsten - Inkl. Travelcase & Zahnpasta - Allblack","412,92","0,00","0,00","0,00","6","0","0","0","0","0,00","-3,19","0,00","0,00","0,00","0,00","0,00","0,00","-2,07","0,00","0,00","0,00","-102,33","305,33","-164,10","-66,55","74,68","74,68","18,09","0,77","121","4,96","-3,19","0,00","45,51"
"07.10.2025","Amazon.de","B08VJHTRFY","HB2B80","happybrush® Vegane Zahnseide SuperClean gewachst in nachhaltiger Verpackung - Natürliche Zahnreinigung - Vorratspack (5 x 35m)","37,61","7,55","7,55","0,00","4","1","1","0","0","0,00","-2,08","-0,23","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-25,40","17,45","-17,35","-7,40","-7,30","-7,30","-16,17","5,12","25","20,00","-2,31","0,00","-42,07"
"07.10.2025","Amazon.de","B0DHCWDQ99","HB2B81","happybrush Naturkosmetik Zahnpasta - Vegane Zahncreme Schutz für deine Zähne - Ohne Mikroplastik - Mehrpack (2er Set, Nachfüllbares Set Minz-Geschmack)","59,75","0,00","0,00","0,00","5","0","0","0","1","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-13,19","0,00","0,00","-25,64","20,92","-35,05","-7,15","-21,28","-21,28","-35,62","0,00","14","35,71","0,00","0,00","-60,71"
"07.10.2025","Amazon.de","B09SVDZ7RX","HB2B79","happybrush Supercolor Zahnpasta Kinder ab 6 Jahren – 5x bunte Zahnpasta für Spaß beim Zähneputzen, mit Calcium, vegan & ohne Mikroplastik, mild und fruchtig, Erdbeergeschmack","30,02","0,00","0,00","0,00","2","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-27,93","2,09","-8,84","-4,90","-11,65","-11,65","-38,80","0,00","14","14,29","0,00","0,00","-131,79"
"07.10.2025","Amazon.de","B0F9WZDN96","HB2B102","happybrush® Nachhaltige Aufsteckbürsten für elektrische Schall-Zahnbürste Eco VIBE 3 - Weiß/Mint - weich - 3x3 Stück","69,98","0,00","0,00","0,00","2","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10,50","59,48","-11,94","-11,17","36,37","36,37","51,97","0,00","16","12,50","0,00","0,00","304,61"
"07.10.2025","Amazon.it","B07CSTT5N4","Y4-D6B3-9XS8","happybrush® Veganes Reiseetui für elektrische Zahnbürsten mit Magnetverschluss - Grau","19,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10,26","9,73","-4,72","-3,60","1,41","1,41","7,03","0,00","2","50,00","0,00","0,00","29,87"
"07.10.2025","Amazon.it","B07JMPGQZB","HAV3S","happybrush® Nachhaltige Aufsteckbürsten für elektrische Schall-Zahnbürste Eco VIBE 3 - Schwarz/Mint - 3x3 Stück","34,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-13,92","21,07","-5,97","-6,31","8,79","8,79","25,12","0,00","2","50,00","0,00","0,00","147,24"
"07.10.2025","Amazon.de","B0DR98PZTD","HB2B105-ohne Etikett","happybrush® Colour Corrector - Lila Zahnpasta weisse Zähne – Sofort weißere Zähne durch Zahnaufhellung – Whitening Zahnpasta mit Fluorid - Zähne aufhellen leicht gemacht","19,95","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3,56","16,39","-1,08","-3,19","12,12","12,12","60,78","0,00","20","5,00","0,00","0,00","1122,22"
"07.10.2025","Amazon.de","B0DHCR5TC4","HB2B88","Happybrush Zahnpasta Professional Repair & Care Sensitive Care - 75 ml (5er Pack), Vegan, Für Empfindliche Zähne","15,07","0,00","0,00","0,00","1","0","0","0","0","0,00","-0,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-19,34","-5,20","-4,49","-2,51","-12,20","-12,20","-80,97","6,17","11","9,09","-0,93","0,00","-271,71"
"07.10.2025","Amazon.de","B0DNR9J3V3","HB2B97DE","happybrush Aufsteckbürsten 9 Stück (3x3) für elektrische Schallzahnbürste ECO VIBE 3 Agnes Wechselköpfe | Original Ersatzbürsten mit abgerundeten Borsten (Agnes, 1 stück (9er Pack))","34,99","0,00","0,00","0,00","1","0","0","0","0","0,00","-7,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-15,72","11,78","-5,97","-5,59","0,22","0,22","0,64","21,41","45","2,22","-7,49","0,00","3,69"
